Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",-156.393750,-83.050000,90.000000,bottom
"C2","22pF","C_0805_2012Metric",-164.493750,-82.640000,-90.000000,bottom
"C3","1uF","C_0805_2012Metric",-173.780000,-72.220000,180.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-167.993750,-82.640000,-90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-151.506904,-77.688216,-90.000000,bottom
"C6","0.1uF","C_0805_2012Metric",-156.593750,-63.240000,180.000000,bottom
"C7","10uF","C_0805_2012Metric",-169.490000,-64.120000,180.000000,bottom
"D1","D_Small","D_SOD-123",-42.880000,-40.030000,0.000000,bottom
"D2","D_Small","D_SOD-123",-61.920000,-42.080000,0.000000,bottom
"D3","D_Small","D_SOD-123",-80.962500,-39.290625,0.000000,bottom
"D4","D_Small","D_SOD-123",-100.010000,-36.280000,0.000000,bottom
"D5","D_Small","D_SOD-123",-119.062500,-39.290625,0.000000,bottom
"D6","D_Small","D_SOD-123",-138.112500,-41.275000,0.000000,bottom
"D7","D_Small","D_SOD-123",-162.321875,-43.040000,0.000000,bottom
"D8","D_Small","D_SOD-123",-186.140000,-41.020000,0.000000,bottom
"D9","D_Small","D_SOD-123",-205.184375,-39.290625,0.000000,bottom
"D10","D_Small","D_SOD-123",-224.234375,-36.512500,0.000000,bottom
"D11","D_Small","D_SOD-123",-243.284375,-39.290625,0.000000,bottom
"D12","D_Small","D_SOD-123",-262.334375,-42.068750,0.000000,bottom
"D13","D_Small","D_SOD-123",-281.384375,-40.481250,0.000000,bottom
"D14","D_Small","D_SOD-123",-38.100000,-59.531250,0.000000,bottom
"D15","D_Small","D_SOD-123",-61.912500,-61.118750,0.000000,bottom
"D16","D_Small","D_SOD-123",-80.950000,-58.160000,0.000000,bottom
"D17","D_Small","D_SOD-123",-100.010000,-55.290000,0.000000,bottom
"D18","D_Small","D_SOD-123",-119.062500,-58.340625,0.000000,bottom
"D19","D_Small","D_SOD-123",-138.112500,-60.325000,0.000000,bottom
"D20","D_Small","D_SOD-123",-162.321875,-58.040000,0.000000,bottom
"D21","D_Small","D_SOD-123",-186.120000,-60.150000,0.000000,bottom
"D22","D_Small","D_SOD-123",-205.184375,-58.340625,0.000000,bottom
"D23","D_Small","D_SOD-123",-224.234375,-55.562500,0.000000,bottom
"D24","D_Small","D_SOD-123",-243.284375,-58.340625,0.000000,bottom
"D25","D_Small","D_SOD-123",-262.334375,-61.118750,0.000000,bottom
"D26","D_Small","D_SOD-123",-286.146875,-59.134375,0.000000,bottom
"D27","D_Small","D_SOD-123",-35.718750,-78.581250,0.000000,bottom
"D28","D_Small","D_SOD-123",-61.912500,-80.168750,0.000000,bottom
"D29","D_Small","D_SOD-123",-80.980000,-77.180000,0.000000,bottom
"D30","D_Small","D_SOD-123",-100.040000,-74.440000,0.000000,bottom
"D31","D_Small","D_SOD-123",-119.062500,-77.390625,0.000000,bottom
"D32","D_Small","D_SOD-123",-138.112500,-79.375000,0.000000,bottom
"D33","D_Small","D_SOD-123",-186.134375,-79.375000,0.000000,bottom
"D34","D_Small","D_SOD-123",-205.184375,-77.390625,0.000000,bottom
"D35","D_Small","D_SOD-123",-224.220000,-74.430000,0.000000,bottom
"D36","D_Small","D_SOD-123",-243.284375,-77.390625,0.000000,bottom
"D37","D_Small","D_SOD-123",-262.334375,-80.168750,0.000000,bottom
"D38","D_Small","D_SOD-123",-288.528125,-78.184375,0.000000,bottom
"D39","D_Small","D_SOD-123",-30.956250,-97.631250,0.000000,bottom
"D40","D_Small","D_SOD-123",-61.912500,-99.615625,0.000000,bottom
"D41","D_Small","D_SOD-123",-83.343750,-96.440625,0.000000,bottom
"D42","D_Small","D_SOD-123",-104.775000,-96.440625,0.000000,bottom
"D43","D_Small","D_SOD-123",-219.471875,-96.440625,0.000000,bottom
"D44","D_Small","D_SOD-123",-240.903125,-96.440625,0.000000,bottom
"D45","D_Small","D_SOD-123",-262.334375,-99.218750,0.000000,bottom
"D46","D_Small","D_SOD-123",-293.290625,-97.234375,0.000000,bottom
"D47","D_Small","D_SOD-123",-115.808750,-100.954375,0.000000,bottom
"D48","D_Small","D_SOD-123",-134.858750,-100.557500,0.000000,bottom
"D49","D_Small","D_SOD-123",-187.250625,-100.944375,180.000000,bottom
"D50","D_Small","D_SOD-123",-209.872500,-100.944375,180.000000,bottom
"F1","500mA","JK-nSMD050-24_F1206_",-153.292840,-26.789040,180.000000,bottom
"J1","AVR-ISP-6","AVR_ICSP_3x2",-162.520176,-94.660000,0.000000,bottom
"MX1","Kailh HotSwap Socket","SW_MX_HS_1u",-43.133125,-34.507500,180.000000,bottom
"MX2","Kailh HotSwap Socket","SW_MX_HS_1u",-62.183750,-36.420000,180.000000,bottom
"MX3","Kailh HotSwap Socket","SW_MX_HS_1u",-81.233750,-33.570000,180.000000,bottom
"MX4","Kailh HotSwap Socket","SW_MX_HS_1u",-100.283750,-30.710000,180.000000,bottom
"MX5","Kailh HotSwap Socket","SW_MX_HS_1u",-119.323750,-33.580000,180.000000,bottom
"MX6","Kailh HotSwap Socket","SW_MX_HS_1u",-138.383750,-35.470000,180.000000,bottom
